s3	s2	s1	s4
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
a3	a2	a2	a1
